pool,strategy,rankBy,exitStrategy,totalReturn,annualizedReturn,sharpeRatio,maxDrawdown,winRate,profitFactor,totalTrades,avgHoldingDays,filteredTradeCount,elapsedMs,error
中证1000,ma_cross,momentum,,-95.70,-66.52,-3.65,95.84,47.34,0.56,13112,1.6,98,7230,
中证1000,ma_cross,value,,-62.59,-28.95,-1.44,65.36,48.73,0.72,12757,4.4,70,7818,
中证1000,ma_cross,turnover,,-81.69,-44.57,-1.32,89.23,53.72,0.57,10716,4.6,29,7024,
中证1000,ma_cross,technical,,-96.17,-67.84,-3.70,96.27,47.96,0.56,13087,1.6,64,7263,
中证1000,ma_cross,low_volatility,,-71.04,-35.00,-2.08,71.84,43.86,0.72,13180,2.6,72,6904,
中证1000,ma_cross,signal_recency,,-82.25,-45.17,-2.35,82.25,42.27,0.68,12686,1.5,38,6801,
中证1000,ma_cross,ma_alignment,,-63.73,-29.71,-0.84,77.32,58.71,0.70,11262,5.5,100,7166,
中证1000,ma_cross,weekly_ma_alignment,,-60.75,-27.75,-0.76,76.40,56.50,0.70,10925,5.4,77,7022,
中证1000,ma_cross,random,,-83.98,-47.09,-2.33,83.98,43.04,0.69,12360,1.6,63,6657,
中证1000,macd_cross,momentum,,-94.93,-64.53,-3.02,94.93,46.59,0.60,13414,1.6,29,7215,
中证1000,macd_cross,value,,-48.16,-20.41,-0.93,52.82,51.54,0.81,13106,7.2,25,6807,
中证1000,macd_cross,turnover,,-86.61,-50.28,-1.63,91.16,54.74,0.51,11234,5.1,13,7097,
中证1000,macd_cross,technical,,-94.75,-64.09,-2.93,94.75,47.01,0.58,13361,1.6,23,7111,
中证1000,macd_cross,low_volatility,,-58.71,-26.47,-1.27,59.72,44.51,0.80,13358,3.8,14,7033,
中证1000,macd_cross,signal_recency,,-87.44,-51.38,-2.86,87.50,42.72,0.66,12805,1.6,36,7270,
中证1000,macd_cross,ma_alignment,,-60.13,-27.36,-0.76,74.89,60.99,0.73,11666,5.7,33,7181,
中证1000,macd_cross,weekly_ma_alignment,,-59.57,-27.00,-0.79,73.33,59.36,0.73,11399,5.9,61,7249,
中证1000,macd_cross,random,,-85.89,-49.37,-2.55,85.89,43.29,0.69,12764,1.8,55,6750,
中证1000,rsi_reversal,momentum,,-27.44,-10.55,-0.36,43.03,50.55,0.87,10620,12.3,68,6777,
中证1000,rsi_reversal,value,,-15.39,-5.64,-0.28,24.83,38.93,0.94,10577,49.7,39,6732,
中证1000,rsi_reversal,turnover,,-49.19,-20.97,-0.64,54.04,44.07,0.64,9497,37.7,31,6623,
中证1000,rsi_reversal,technical,,-25.41,-9.69,-0.32,40.49,51.64,0.88,10625,12.4,38,6871,
中证1000,rsi_reversal,low_volatility,,-22.37,-8.43,-0.46,29.33,46.03,0.87,10520,19.9,9,6870,
中证1000,rsi_reversal,signal_recency,,-35.13,-13.97,-0.55,37.77,46.71,0.83,10988,9.6,12,6787,
中证1000,rsi_reversal,ma_alignment,,-25.88,-9.89,-0.53,31.75,46.26,0.82,9981,30.5,63,7033,
中证1000,rsi_reversal,weekly_ma_alignment,,-15.97,-5.87,-0.23,30.21,48.84,0.91,10147,25.4,63,7095,
中证1000,rsi_reversal,random,,-28.70,-11.09,-0.41,38.10,45.82,0.87,10594,13.7,36,7072,
中证1000,bollinger_breakout,momentum,,-0.76,-0.27,0.05,36.19,54.22,1.01,11198,6.2,68,7221,
中证1000,bollinger_breakout,value,,5.65,1.93,0.10,26.93,36.92,1.17,11102,32.4,72,7138,
中证1000,bollinger_breakout,turnover,,-5.67,-2.01,0.05,48.16,44.69,0.97,10249,20.7,31,7159,
中证1000,bollinger_breakout,technical,,7.19,2.44,0.15,37.59,54.65,1.05,11314,6.4,28,7102,
中证1000,bollinger_breakout,low_volatility,,-8.64,-3.09,-0.18,29.71,41.65,0.99,11186,15.9,30,7341,
中证1000,bollinger_breakout,signal_recency,,-25.95,-9.92,-0.39,42.01,48.20,0.89,11607,5.1,10,7325,
中证1000,bollinger_breakout,ma_alignment,,43.46,13.36,0.55,37.42,55.10,1.15,10114,12.3,81,7465,
中证1000,bollinger_breakout,weekly_ma_alignment,,10.27,3.46,0.19,40.93,48.51,1.03,10289,13.7,75,7342,
中证1000,bollinger_breakout,random,,-26.49,-10.15,-0.36,40.39,47.26,0.88,11377,7.1,52,7185,
中证1000,supertrend,momentum,,-86.90,-50.66,-2.53,86.90,45.89,0.64,13025,2.8,34,7200,
中证1000,supertrend,value,,-16.18,-5.95,-0.22,36.73,46.22,0.95,11799,16.5,42,7336,
中证1000,supertrend,turnover,,-77.85,-40.78,-1.27,82.81,54.24,0.56,10860,11.3,15,7371,
中证1000,supertrend,technical,,-87.57,-51.55,-2.54,87.57,46.35,0.63,12960,2.8,30,7302,
中证1000,supertrend,low_volatility,,-41.20,-16.86,-0.95,41.20,41.14,0.81,12775,8.1,55,7164,
中证1000,supertrend,signal_recency,,-79.00,-41.87,-2.19,79.00,38.91,0.69,12260,2.2,38,7382,
中证1000,supertrend,ma_alignment,,-14.59,-5.34,-0.04,56.05,63.03,0.87,10607,13.8,34,7247,
中证1000,supertrend,weekly_ma_alignment,,17.66,5.81,0.28,48.67,59.16,0.98,10120,17.8,35,7123,
中证1000,supertrend,random,,-71.75,-35.55,-1.70,71.75,39.73,0.72,12482,3.5,71,7788,
中证1000,tech_composite,momentum,,-91.58,-57.68,-2.87,91.59,46.58,0.63,12970,1.8,29,10149,
中证1000,tech_composite,value,,-36.01,-14.38,-0.64,39.53,49.08,0.82,11825,13.4,46,8925,
中证1000,tech_composite,turnover,,-80.28,-43.12,-1.29,86.28,56.26,0.58,10425,6.1,21,8853,
中证1000,tech_composite,technical,,-91.11,-56.89,-2.74,91.12,47.08,0.63,12998,1.8,25,8918,
中证1000,tech_composite,low_volatility,,-57.00,-25.42,-1.46,57.00,41.20,0.75,12912,6.2,35,9188,
中证1000,tech_composite,signal_recency,,-88.15,-52.35,-2.87,88.20,41.16,0.64,11827,1.7,29,8731,
中证1000,tech_composite,ma_alignment,,-50.68,-21.79,-0.57,72.98,61.02,0.72,10376,8.6,69,9195,
中证1000,tech_composite,weekly_ma_alignment,,-37.00,-14.83,-0.34,64.24,59.23,0.79,10491,9.2,82,9198,
中证1000,tech_composite,random,,-80.89,-43.74,-2.11,80.89,41.88,0.71,12050,2.3,25,8953,
中证1000,hammer+time_exit,momentum,time_exit,18.80,6.17,0.57,7.76,72.82,2.02,287,4.8,0,7091,
中证1000,hammer+time_exit,value,time_exit,18.80,6.17,0.57,7.76,73.10,2.02,290,4.8,0,7038,
中证1000,hammer+time_exit,turnover,time_exit,18.71,6.14,0.57,7.76,73.17,2.02,287,4.8,0,7125,
中证1000,hammer+time_exit,technical,time_exit,18.80,6.17,0.57,7.76,72.82,2.02,287,4.8,0,6913,
中证1000,hammer+time_exit,low_volatility,time_exit,18.80,6.17,0.57,7.76,73.01,2.02,289,4.8,0,7196,
