snapshot,theme,method,pool_size,forward_return,dispersion,tracking_error,overlap
2024-01-31,人形机器人,concept,138,0.11617434997418274,,,0.044444444444444446
2024-01-31,人形机器人,hot_stock,50,0.145842052770782,,,
2024-01-31,半导体,concept,397,0.12834670941752324,,,0.009925558312655087
2024-01-31,半导体,hot_stock,10,0.030974729422230673,,,
2024-01-31,新能源,concept,183,0.07672557420976811,,,0.043795620437956206
2024-01-31,新能源,hot_stock,103,0.0225658654895442,,,
2024-01-31,国企改革,hot_stock,127,-0.011358369555212855,,,
2024-02-29,人形机器人,concept,138,0.062456885897318015,,,0.12987012987012986
2024-02-29,人形机器人,hot_stock,123,0.042418463055305944,,,
2024-02-29,半导体,concept,397,0.027704056095440466,,,0.11342592592592593
2024-02-29,半导体,hot_stock,84,0.029704046324360966,,,
2024-02-29,新能源,concept,183,0.03335385679368108,,,0.08307692307692308
2024-02-29,新能源,hot_stock,169,0.04337546624471722,,,
2024-02-29,国企改革,hot_stock,248,0.03708760235061437,,,
2024-03-29,人形机器人,concept,138,-0.03164702126705865,,,0.0787037037037037
2024-03-29,人形机器人,hot_stock,95,-0.07886033225904887,,,
2024-03-29,半导体,concept,397,-0.025660362204083298,,,0.07058823529411765
2024-03-29,半导体,hot_stock,58,-0.07682567695218634,,,
2024-03-29,新能源,concept,183,0.008490419140503747,,,0.08709677419354839
2024-03-29,新能源,hot_stock,154,-0.06390612477259794,,,
2024-03-29,国企改革,hot_stock,151,-0.09304062726116658,,,
2024-04-30,人形机器人,concept,138,-0.023270899595592254,,,0.052083333333333336
2024-04-30,人形机器人,hot_stock,64,-0.052299534005678994,,,
2024-04-30,半导体,concept,397,-0.0066387606625244455,,,0.05250596658711217
2024-04-30,半导体,hot_stock,44,-0.011398519014046427,,,
2024-04-30,新能源,concept,183,-0.017243625874458157,,,0.10367892976588629
2024-04-30,新能源,hot_stock,147,-0.011791377583380336,,,
2024-04-30,国企改革,hot_stock,184,-0.003518997270019919,,,
2024-05-31,人形机器人,concept,138,-0.10266939707608325,,,0.043478260869565216
2024-05-31,人形机器人,hot_stock,30,-0.08980538695398976,,,
2024-05-31,半导体,concept,397,-0.05661208880978508,,,0.05896805896805897
