=== Primary Theme Mentions (quarter-end snapshots) ===

Theme            24-03   24-06   24-09   24-12   25-03   25-06   25-09   25-12   26-03   26-06
----------------------------------------------------------------------------------------------
人形机器人               29      21       -      49      44      29      50      42      20      27
半导体                 19      16       -      20       -      27      15      27       -      90
商业航天                 -       -       -       -       -       -       -      86      17       -
新能源                 45      28      32      45      27      49      25      31      22      17
AI基础设施               -       -       -      26       -       -       -       -      24      18
国企改革                32      16      59      32      31      75      31      16      24      15
低空经济                44       -       -      20       -       -       -      21       -       -
消费电子                 -      15       -       -       -       -       -       -       -       -
创新药                  -       -       -       -       -       -       -       -      20      17
黄金                   -       -       -       -       -       -       -       -       -       -
